Attribute,Description,Valid Values,Requires,Required,Source,Parent,Properties,Requires Component,Validation Rules
assay,The technology used to generate the data in this file,,,TRUE,,,,,
photograph,An image recorded by a camera.,,,FALSE,http://purl.obolibrary.org/obo/NCIT_C86035,assay,,,
HPLC,"Frequently referred to simply as HPLC, this form of column chromatography is used frequently in biochemistry. The analyte is forced through a column by liquid at high pressure, which decreases the time the separated components remain on the stationary phase.",,,FALSE,http://purl.obolibrary.org/obo/NCIT_C16434,assay,,,
Q Exative HF,Thermo scientific Q Exative,,,FALSE,http://purl.obolibrary.org/obo/MS_10025223,platform,,,
elevated plus maze test,"A method which utilizes an experimental apparatus consisting of four arms, usually two enclosed and two open, in the shape of a plus (+) upon which the test animal can walk. The maze is elevated a set distance, for example 40 to 60 centimeters, above the floor or platform upon which the apparatus sits.; [http://purl.obolibrary.org/obo/MMO_0000262]",,,FALSE,,assay,,,
open field test,"A test utilizing an enclosure consisting of a single area bordered by clear or opaque walls, used to measure movement, exploratory behavior, etc of an experimental subject.; [http://purl.obolibrary.org/obo/MMO_0000258]",,,FALSE,,assay,,,
rotarod performance test,"A method that utilizes a device consisting of a rotating rod the speed of which is mechanically driven and precisely controlled, for instance held constant or accelerated. The rotarod test is often used to measure riding time or endurance in order to evaluate balance, motor coordination or grip strength.; [http://purl.obolibrary.org/obo/MMO_0000567]",,,FALSE,,assay,,,
mRNAcounts,A mRNA profiling assay using digital molecular barcoding technology to quantify target mRNA molecules without the need for amplification.; [Sage Bionetworks],,,FALSE,,assay,,,
high content screen,An image analysis technique combining automated fluorescence microscopy with multi-parameter quantitative image analysis for the large scale study of cells (cellomics).; [http://www.ebi.ac.uk/efo/EFO_0007550],,,FALSE,,assay,,,
Immunocytochemistry,The branch of immunochemistry dealing with cells and cellular activity; the application of immunochemical techniques to cytochemistry.; [http://purl.obolibrary.org/obo/NCIT_C17731],,,FALSE,,assay,,,
immunofluorescence,An immunological procedure in which the antibodies are coupled with molecules which fluoresce under ultra violet (UV) light. This makes them particularly suitable for detection of specific antigens in tissues or on cells.; [http://purl.obolibrary.org/obo/NCIT_C17370],,,FALSE,,assay,,,
autoradiography,A radioactivity detection technique using X- ray film to visualize molecules or fragments of molecules that have been radioactively labeled.; [http://purl.obolibrary.org/obo/ERO_0000716],,,FALSE,,assay,,,
electrochemiluminescence,"A method in which electromagnetic radiation, in the form of light emission, is generated from an electrochemical reaction in a solution.; [http://purl.obolibrary.org/obo/NCIT_C111193]",,,FALSE,,assay,,,
Real Time PCR,An application of PCR that measures the products generated during each cycle of the polymerase chain reaction process in order to determine the starting amount of template in the reaction.; [http://purl.obolibrary.org/obo/NCIT_C51962],,,FALSE,,assay,,,
Vernier Caliper,A medical device that is a combination of ruler and caliper that can measure the distance between two points. The configuration of this device permits the measurement of internal dimensions.; [http://purl.obolibrary.org/obo/NCIT_C81184],,,FALSE,,assay,,,
scale,An instrument or machine for weighing.; [http://purl.obolibrary.org/obo/MMO_0000217],,,FALSE,,assay,,,
Blood Chemistry Measurement,The determination of the measured concentrations of chemical constituents of the blood by assay in a clinical laboratory.; [http://purl.obolibrary.org/obo/NCIT_C47868],,,FALSE,,assay,,,
in vivo bioluminescence,An imaging assay that allows detection of bioluminescence from a living organism or organisms.; [http://purl.obolibrary.org/obo/ERO_0000651],,,FALSE,,assay,,,
immunohistochemistry,An immunostaining assay to detect and potentially localize antigens within the cells of a tissue section; [http://purl.obolibrary.org/obo/OBI_0001986],,assayTarget,FALSE,,assay,,,
NOMe-Seq,Nucleosome Occupancy and Methylome Sequencing; [http://purl.obolibrary.org/obo/NCIT_C106053],,assayTarget,FALSE,,assay,,,
FIA-MSMS,Flow injection analysis - tandem mass spectrometer; [https://www.ncbi.nlm.nih.gov/pubmed/28667829],,platform,FALSE,,assay,,,
UPLC-MSMS,Ultra performance liquid chromatography - tandem mass spectrometer.; [https://www.wur.nl/en/show/Ultra-performance-liquid-chromatography-tandem-mass-spectrometer-UPLCMSMS.htm],,platform,FALSE,,assay,,,
HPLC-MSMS,"An analytical technique wherein high performance liquid chromatography is coupled to tandem mass spectrometry in order to separate, identify, and quantify substances in a sample.; [http://purl.obolibrary.org/obo/NCIT_C120691]",,platform,FALSE,,assay,,,
liquid chromatography-electrochemical detection,"A liquid chromatography method that is sensitive to compounds which can be either reduced or oxidised. The mobile phase passes directly over the working electrode, which is set to the specific potential required for oxidation or reduction. The current produced is then measured.; [http://purl.obolibrary.org/obo/CHMO_0001746]",,,FALSE,,assay,,,
rnaSeq,RNA Sequencing measurements; [http://purl.obolibrary.org/obo/OBI_0001271],,"platform,readLength,runType,isStranded,readPairOrientation,readStrandOrigin,libraryPrep,nucleicAcidSource",FALSE,,assay,,,
